start	end	text
0	7640	Mira, yo entiendo, Sonia, que hay cosas que estoy leyendo y estoy escuchándote.
7640	14440	En primer lugar, nosotros no tenemos que ver nada si una gente se mudó y deja su parque o ahí.
14440	20720	La gente tiene que ponerle un tranca parqueo, si no quiere que se parquen ahí.
20720	25800	Como lo puso la gente del G, nosotros no tenemos que tener un edificio ahí,
25800	30760	no tenemos muchas cosas que hacer, muchas cosas que supervisar.
30760	37720	La basura, hay una situación que ponerle doble funda, eso, botarle agua, no está conveniente.
37720	42960	Si hay que poner un safacón ahí, vamos a ponerle un safacón y así se termina la cosa.
42960	49480	Pero yo voy a subir ahora, voy a estar por ahí ahora mismo, a ver que la situación como es que va.
49480	54320	Pero los parqueos, Sonia, nosotros no podemos ponerle ningún córono a esas cosas, sí.
54320	57440	No, que los ponga el dueño.
57440	62800	Ahora, ciertamente, que la gente ya cuando se mudó, tiene que hacer cuenta que hay gente.
62800	69520	Pero nosotros no podemos estar muy unos locos con todas las cositas, Sonia.
69520	70960	Es así.
70960	78280	Y la gente tiene que transmitir las quejas para que también se pueda trabajar.
78280	81200	Es otra cosa.
81200	88920	Vamos a ponerlo de acuerdo, yo voy a pasar por ahora, voy a cambiar ahí, a pasar por ahí, a ver qué pasa.
88920	91480	Tú háblate de un bombillo, ¿qué bombillo hay que estar quemado?
91480	95120	Porque ellos no quieren comprar bombillo, hay bombillo griego en la garita.
95120	111920	Hay un par de bombillos.
