start	end	text
0	18880	Hace mucho tiempo le hago caso al corazón
18880	24800	Y pasan los días, los meses pensando en dolor
24800	31120	Ha llegado el tiempo para usar la razón
31120	36960	Ante que sea tarde y sin querer me parten dos
36960	41680	Ante de que salga el sol, anda el acelerador
41680	44240	Me vaya sin freno y pierda el control
44240	47760	Nada más seremos dos, tú y yo acariciándonos
47760	50240	En medio del tiempo sin decir adiós
50240	55280	Y solo mírame con eso yo tan linda
55280	62960	Que con eso yo también, hoy he vuelto a nacer
62960	69040	Hace tiempo que no agarró a nadie de la mano
69040	73920	Hace tiempo que no envío buenos días te amo
73920	77440	Pero tú me tienes enredado, me envolví
77440	80240	Y iba por mi camino y me perdí
80240	83440	Mi mirada cambió cuando tu sos bi
83440	86400	Bye bye a los culos, ni me despedí
86400	89120	Yo no te busqué, no
89120	91760	Chocamos en el trayecto
91760	94560	Con tu alma en la que yo conecto
94560	98560	Tranquila no tiene que ser perfecto, no
98560	101520	Aquí no existe el pecado
101520	104560	Y equivocarse es bonito
104560	107600	Los errores son placeres
107600	110400	Igual que to' tus besitos
110400	115280	Y solo mírame con eso yo tan linda
115280	122320	Que con eso yo también, hoy he vuelto a nacer
122320	127280	Y solo mírame con eso yo tan linda
127280	134480	Que con eso yo también, hoy he vuelto a nacer
134480	139120	Tú y yo, tú y yo, tú y yo
139120	141040	Tú y yo, tú y yo
141040	143760	Tú y yo, tú y yo, tú y yo
143760	146160	Tú y yo, tú y yo
146160	150960	Tú y yo, tú y yo
150960	152880	Tú y yo, tú y yo
152880	157920	Tú y yo, tú y yo
157920	160400	Yo no me dejo llevar de nadie
160400	163680	Yo solo me dejo llevar de tus sombrillos
163680	166680	Y de la luna el cerquita de tu boca
166680	169680	Si yo estoy loco, tú estás loquita
169680	173680	Pero, baby, como tú no hay otra, no
173680	175680	Quiero regalarte ir al sol
175680	178680	Ir para la playa y buscarte caracoles
178680	182680	Cuando estoy contigo yo no miro el rol
182680	185680	Vamos a bailar 200 canciones
185680	200680	Nadie me pone como tú me pones
200680	203680	Yo le hablo a Dios y tú eres su respuesta
203680	206680	Aprendí que los momentos lindos nunca cuestan
206680	209680	Como cuando me regalas tu mirada
209680	212680	Y el sol supuesta, y el sol supuesta
212680	215680	Cuando estoy encima de ti, de ti
215680	218680	Mami, yo me olvido de todo, de todo
218680	221680	No se vuelta nadie aquí
221680	224680	Solamente tú y yo
224680	227680	Antes de que salga el sol, vente al acelerador
227680	230680	Me vaya sin freno y pierda el control
230680	233680	Nada más seremos dos, tú y yo acariciándonos
233680	236680	En medio del tiempo sin decir adiós
236680	240680	Y solo mírame, con eso yo estoy linda
240680	243680	Que con eso yo también
243680	246680	Hoy he vuelto a nacer
247680	252680	Y solo mírame, con eso yo estoy linda
252680	255680	Que con eso yo también
255680	270680	Hoy he vuelto a nacer
